Sr No.,Utterance,Speaker,Emotion,Trigger,Dialogue_ID,Utterance_ID,Episode_No
1619,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,0.0,180,2,37.0
1620,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",Monica,joy,0.0,180,3,37.0
1621,Yeah. What-what should I do?,Ross,fear,0.0,180,4,37.0
1622,"Well Ross, it seems pretty clear.",Joey,neutral,0.0,180,5,37.0
1623,I mean what's more important?,Joey,neutral,0.0,180,6,37.0
1624,"What people think or how you feel, huh?",Joey,neutral,0.0,180,7,37.0
1625,"Ross, you gotta follow your heart.",Joey,neutral,0.0,180,8,37.0
1626,Joey that is so sweet.,Monica,joy,0.0,180,9,37.0
1627,Hey.,Chandler,neutral,0.0,180,10,37.0
1628,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,1.0,180,11,37.0
1629,I couldn't do it.,Chandler,sadness,1.0,180,12,37.0
1630,"Well, not really.",Ross,neutral,0.0,181,0,37.0
1631,"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",Ross,neutral,0.0,181,1,37.0
1632,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,0.0,181,2,37.0
1633,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",Monica,joy,0.0,181,3,37.0
1634,Yeah. What-what should I do?,Ross,fear,0.0,181,4,37.0
1635,"Well Ross, it seems pretty clear.",Joey,neutral,0.0,181,5,37.0
1636,I mean what's more important?,Joey,neutral,0.0,181,6,37.0
1637,"What people think or how you feel, huh?",Joey,neutral,0.0,181,7,37.0
1638,"Ross, you gotta follow your heart.",Joey,neutral,0.0,181,8,37.0
1639,Joey that is so sweet.,Monica,joy,0.0,181,9,37.0
1640,Hey.,Chandler,neutral,0.0,181,10,37.0
1641,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,0.0,181,11,37.0
1642,I couldn't do it.,Chandler,sadness,1.0,181,12,37.0
1643,You couldn't do it?!,Joey,surprise,0.0,181,13,37.0
1644,"Well, not really.",Ross,neutral,0.0,182,0,37.0
1645,"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",Ross,neutral,0.0,182,1,37.0
1646,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,0.0,182,2,37.0
1647,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",Monica,joy,0.0,182,3,37.0
1648,Yeah. What-what should I do?,Ross,fear,0.0,182,4,37.0
1649,"Well Ross, it seems pretty clear.",Joey,neutral,0.0,182,5,37.0
1650,I mean what's more important?,Joey,neutral,0.0,182,6,37.0
1651,"What people think or how you feel, huh?",Joey,neutral,0.0,182,7,37.0
1652,"Ross, you gotta follow your heart.",Joey,neutral,0.0,182,8,37.0
1653,Joey that is so sweet.,Monica,joy,0.0,182,9,37.0
1654,Hey.,Chandler,neutral,0.0,182,10,37.0
1655,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,0.0,182,11,37.0
1656,I couldn't do it.,Chandler,sadness,0.0,182,12,37.0
1657,You couldn't do it?!,Joey,surprise,1.0,182,13,37.0
1658,"Hey, relax I just need more time. We're going to dinner tonight.",Chandler,neutral,1.0,182,14,37.0
1659,"Well, not really.",Ross,neutral,0.0,183,0,37.0
1660,"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",Ross,neutral,0.0,183,1,37.0
1661,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,0.0,183,2,37.0
1662,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",Monica,joy,0.0,183,3,37.0
1663,Yeah. What-what should I do?,Ross,fear,0.0,183,4,37.0
1664,"Well Ross, it seems pretty clear.",Joey,neutral,0.0,183,5,37.0
1665,I mean what's more important?,Joey,neutral,0.0,183,6,37.0
1666,"What people think or how you feel, huh?",Joey,neutral,0.0,183,7,37.0
1667,"Ross, you gotta follow your heart.",Joey,neutral,0.0,183,8,37.0
1668,Joey that is so sweet.,Monica,joy,0.0,183,9,37.0
1669,Hey.,Chandler,neutral,0.0,183,10,37.0
1670,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,0.0,183,11,37.0
1671,I couldn't do it.,Chandler,sadness,0.0,183,12,37.0
1672,You couldn't do it?!,Joey,surprise,0.0,183,13,37.0
1673,"Hey, relax I just need more time. We're going to dinner tonight.",Chandler,neutral,1.0,183,14,37.0
1674,What?! You're going out with her again!,Monica,surprise,0.0,183,15,37.0
1675,"Well, not really.",Ross,neutral,0.0,184,0,37.0
1676,"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",Ross,neutral,0.0,184,1,37.0
1677,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,0.0,184,2,37.0
1678,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",Monica,joy,0.0,184,3,37.0
1679,Yeah. What-what should I do?,Ross,fear,0.0,184,4,37.0
1680,"Well Ross, it seems pretty clear.",Joey,neutral,0.0,184,5,37.0
1681,I mean what's more important?,Joey,neutral,0.0,184,6,37.0
1682,"What people think or how you feel, huh?",Joey,neutral,0.0,184,7,37.0
1683,"Ross, you gotta follow your heart.",Joey,neutral,0.0,184,8,37.0
1684,Joey that is so sweet.,Monica,joy,0.0,184,9,37.0
1685,Hey.,Chandler,neutral,0.0,184,10,37.0
1686,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,0.0,184,11,37.0
1687,I couldn't do it.,Chandler,sadness,0.0,184,12,37.0
1688,You couldn't do it?!,Joey,surprise,0.0,184,13,37.0
1689,"Hey, relax I just need more time. We're going to dinner tonight.",Chandler,neutral,1.0,184,14,37.0
1690,What?! You're going out with her again!,Monica,surprise,1.0,184,15,37.0
1691,Going out with who?,Ross,neutral,0.0,184,16,37.0
1692,"Well, not really.",Ross,neutral,0.0,185,0,37.0
1693,"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",Ross,neutral,0.0,185,1,37.0
1694,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,0.0,185,2,37.0
1695,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",Monica,joy,0.0,185,3,37.0
1696,Yeah. What-what should I do?,Ross,fear,0.0,185,4,37.0
1697,"Well Ross, it seems pretty clear.",Joey,neutral,0.0,185,5,37.0
1698,I mean what's more important?,Joey,neutral,0.0,185,6,37.0
1699,"What people think or how you feel, huh?",Joey,neutral,0.0,185,7,37.0
1700,"Ross, you gotta follow your heart.",Joey,neutral,0.0,185,8,37.0
1701,Joey that is so sweet.,Monica,joy,0.0,185,9,37.0
1702,Hey.,Chandler,neutral,0.0,185,10,37.0
1703,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,0.0,185,11,37.0
1704,I couldn't do it.,Chandler,sadness,0.0,185,12,37.0
1705,You couldn't do it?!,Joey,surprise,0.0,185,13,37.0
1706,"Hey, relax I just need more time. We're going to dinner tonight.",Chandler,neutral,0.0,185,14,37.0
1707,What?! You're going out with her again!,Monica,surprise,0.0,185,15,37.0
1708,Going out with who?,Ross,neutral,0.0,185,16,37.0
1709,"Uh, Dana Keystone from college.",Chandler,neutral,1.0,185,17,37.0
1710,Oh yeah! Wasn't she uh,Ross,surprise,1.0,185,18,37.0
1711,"Well, not really.",Ross,neutral,0.0,186,0,37.0
1712,"I mean technically it's-it's not against the rules or anything, but it is frowned upon.",Ross,neutral,0.0,186,1,37.0
1713,"Especially by that professor we ran into last night, Judgey von Holierthanthou.",Ross,anger,0.0,186,2,37.0
1714,"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents.",Monica,joy,0.0,186,3,37.0
1715,Yeah. What-what should I do?,Ross,fear,0.0,186,4,37.0
1716,"Well Ross, it seems pretty clear.",Joey,neutral,0.0,186,5,37.0
1717,I mean what's more important?,Joey,neutral,0.0,186,6,37.0
1718,"What people think or how you feel, huh?",Joey,neutral,0.0,186,7,37.0
1719,"Ross, you gotta follow your heart.",Joey,neutral,0.0,186,8,37.0
1720,Joey that is so sweet.,Monica,joy,0.0,186,9,37.0
1721,Hey.,Chandler,neutral,0.0,186,10,37.0
1722,"Hey-hey-hey! So, how did it go with Dana? Any reason I should leave a block of time open say Thursday?",Joey,neutral,0.0,186,11,37.0
1723,I couldn't do it.,Chandler,sadness,0.0,186,12,37.0
1724,You couldn't do it?!,Joey,surprise,0.0,186,13,37.0
1725,"Hey, relax I just need more time. We're going to dinner tonight.",Chandler,neutral,0.0,186,14,37.0
1726,What?! You're going out with her again!,Monica,surprise,0.0,186,15,37.0
1727,Going out with who?,Ross,neutral,0.0,186,16,37.0
1728,"Uh, Dana Keystone from college.",Chandler,neutral,0.0,186,17,37.0
1729,Oh yeah! Wasn't she uh,Ross,surprise,0.0,186,18,37.0
1730,"No, that was Dana Caplin.",Chandler,neutral,0.0,186,19,37.0
1731,Joey! You didn't even know her!,Monica,surprise,1.0,186,20,37.0
1732,Ah whatever!,Joey,anger,0.0,186,21,37.0
1733,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,187,0,38.0
1734,Don't touch him!,Wayne,anger,1.0,187,1,38.0
1735,Okay!,Joey,surprise,0.0,187,2,38.0
1736,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,188,0,38.0
1737,Don't touch him!,Wayne,anger,1.0,188,1,38.0
1738,Okay!,Joey,surprise,1.0,188,2,38.0
1739,All right.,Joey,neutral,1.0,188,3,38.0
1740,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,189,0,38.0
1741,Don't touch him!,Wayne,anger,0.0,189,1,38.0
1742,Okay!,Joey,surprise,0.0,189,2,38.0
1743,All right.,Joey,neutral,0.0,189,3,38.0
1744,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,189,4,38.0
1745,I-I keep hearing all these rumors that I might get fired.,Joey,fear,1.0,189,5,38.0
1746,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,190,0,38.0
1747,Don't touch him!,Wayne,anger,0.0,190,1,38.0
1748,Okay!,Joey,surprise,0.0,190,2,38.0
1749,All right.,Joey,neutral,0.0,190,3,38.0
1750,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,190,4,38.0
1751,I-I keep hearing all these rumors that I might get fired.,Joey,fear,1.0,190,5,38.0
1752,"Okay, they even have actors coming in to read for my part!",Joey,fear,1.0,190,6,38.0
1753,"Come on man, you-you got to give me a second chance!",Joey,sadness,1.0,190,7,38.0
1754,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,191,0,38.0
1755,Don't touch him!,Wayne,anger,0.0,191,1,38.0
1756,Okay!,Joey,surprise,0.0,191,2,38.0
1757,All right.,Joey,neutral,0.0,191,3,38.0
1758,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,191,4,38.0
1759,I-I keep hearing all these rumors that I might get fired.,Joey,fear,0.0,191,5,38.0
1760,"Okay, they even have actors coming in to read for my part!",Joey,fear,0.0,191,6,38.0
1761,"Come on man, you-you got to give me a second chance!",Joey,sadness,0.0,191,7,38.0
1762,"I mean, I love-I love this little guy!",Joey,joy,1.0,191,8,38.0
1763,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,192,0,38.0
1764,Don't touch him!,Wayne,anger,0.0,192,1,38.0
1765,Okay!,Joey,surprise,0.0,192,2,38.0
1766,All right.,Joey,neutral,0.0,192,3,38.0
1767,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,192,4,38.0
1768,I-I keep hearing all these rumors that I might get fired.,Joey,fear,0.0,192,5,38.0
1769,"Okay, they even have actors coming in to read for my part!",Joey,fear,0.0,192,6,38.0
1770,"Come on man, you-you got to give me a second chance!",Joey,sadness,0.0,192,7,38.0
1771,"I mean, I love-I love this little guy!",Joey,joy,0.0,192,8,38.0
1772,Ah-ah!!,Joey,surprise,1.0,192,9,38.0
1773,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,193,0,38.0
1774,Don't touch him!,Wayne,anger,0.0,193,1,38.0
1775,Okay!,Joey,surprise,0.0,193,2,38.0
1776,All right.,Joey,neutral,0.0,193,3,38.0
1777,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,193,4,38.0
1778,I-I keep hearing all these rumors that I might get fired.,Joey,fear,0.0,193,5,38.0
1779,"Okay, they even have actors coming in to read for my part!",Joey,fear,0.0,193,6,38.0
1780,"Come on man, you-you got to give me a second chance!",Joey,sadness,0.0,193,7,38.0
1781,"I mean, I love-I love this little guy!",Joey,joy,0.0,193,8,38.0
1782,Ah-ah!!,Joey,surprise,1.0,193,9,38.0
1783,"Okay, that's why you didn't want me to touch him right?",Joey,surprise,1.0,193,10,38.0
1784,Here you go!,Joey,neutral,0.0,193,11,38.0
1785,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,194,0,38.0
1786,Don't touch him!,Wayne,anger,0.0,194,1,38.0
1787,Okay!,Joey,surprise,0.0,194,2,38.0
1788,All right.,Joey,neutral,0.0,194,3,38.0
1789,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,194,4,38.0
1790,I-I keep hearing all these rumors that I might get fired.,Joey,fear,0.0,194,5,38.0
1791,"Okay, they even have actors coming in to read for my part!",Joey,fear,0.0,194,6,38.0
1792,"Come on man, you-you got to give me a second chance!",Joey,sadness,0.0,194,7,38.0
1793,"I mean, I love-I love this little guy!",Joey,joy,0.0,194,8,38.0
1794,Ah-ah!!,Joey,surprise,1.0,194,9,38.0
1795,"Okay, that's why you didn't want me to touch him right?",Joey,surprise,1.0,194,10,38.0
1796,Here you go!,Joey,neutral,1.0,194,11,38.0
1797,Okay?,Joey,neutral,0.0,194,12,38.0
1798,Stupid!,Joey,anger,0.0,194,13,38.0
1799,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,195,0,38.0
1800,Don't touch him!,Wayne,anger,0.0,195,1,38.0
1801,Okay!,Joey,surprise,0.0,195,2,38.0
1802,All right.,Joey,neutral,0.0,195,3,38.0
1803,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,195,4,38.0
1804,I-I keep hearing all these rumors that I might get fired.,Joey,fear,0.0,195,5,38.0
1805,"Okay, they even have actors coming in to read for my part!",Joey,fear,0.0,195,6,38.0
1806,"Come on man, you-you got to give me a second chance!",Joey,sadness,0.0,195,7,38.0
1807,"I mean, I love-I love this little guy!",Joey,joy,0.0,195,8,38.0
1808,Ah-ah!!,Joey,surprise,0.0,195,9,38.0
1809,"Okay, that's why you didn't want me to touch him right?",Joey,surprise,0.0,195,10,38.0
1810,Here you go!,Joey,neutral,0.0,195,11,38.0
1811,Okay?,Joey,neutral,0.0,195,12,38.0
1812,Stupid!,Joey,anger,0.0,195,13,38.0
1813,I can't believe it!,Joey,surprise,1.0,195,14,38.0
1814,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,196,0,38.0
1815,Don't touch him!,Wayne,anger,0.0,196,1,38.0
1816,Okay!,Joey,surprise,0.0,196,2,38.0
1817,All right.,Joey,neutral,0.0,196,3,38.0
1818,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,196,4,38.0
1819,I-I keep hearing all these rumors that I might get fired.,Joey,fear,0.0,196,5,38.0
1820,"Okay, they even have actors coming in to read for my part!",Joey,fear,0.0,196,6,38.0
1821,"Come on man, you-you got to give me a second chance!",Joey,sadness,0.0,196,7,38.0
1822,"I mean, I love-I love this little guy!",Joey,joy,0.0,196,8,38.0
1823,Ah-ah!!,Joey,surprise,0.0,196,9,38.0
1824,"Okay, that's why you didn't want me to touch him right?",Joey,surprise,0.0,196,10,38.0
1825,Here you go!,Joey,neutral,0.0,196,11,38.0
1826,Okay?,Joey,neutral,0.0,196,12,38.0
1827,Stupid!,Joey,anger,0.0,196,13,38.0
1828,I can't believe it!,Joey,surprise,0.0,196,14,38.0
1829,God!,Joey,anger,0.0,196,15,38.0
1830,"Morning! Hey, how's my favorite genius and my little robot buddy?!",Joey,joy,0.0,197,0,38.0
1831,Don't touch him!,Wayne,anger,0.0,197,1,38.0
1832,Okay!,Joey,surprise,0.0,197,2,38.0
1833,All right.,Joey,neutral,0.0,197,3,38.0
1834,"Umm, all right Wayne, level with me.",Joey,neutral,0.0,197,4,38.0
1835,I-I keep hearing all these rumors that I might get fired.,Joey,fear,0.0,197,5,38.0
1836,"Okay, they even have actors coming in to read for my part!",Joey,fear,0.0,197,6,38.0
1837,"Come on man, you-you got to give me a second chance!",Joey,sadness,0.0,197,7,38.0
1838,"I mean, I love-I love this little guy!",Joey,joy,0.0,197,8,38.0
1839,Ah-ah!!,Joey,surprise,0.0,197,9,38.0
1840,"Okay, that's why you didn't want me to touch him right?",Joey,surprise,0.0,197,10,38.0
1841,Here you go!,Joey,neutral,0.0,197,11,38.0
1842,Okay?,Joey,neutral,0.0,197,12,38.0
1843,Stupid!,Joey,anger,0.0,197,13,38.0
1844,I can't believe it!,Joey,surprise,0.0,197,14,38.0
1845,God!,Joey,anger,0.0,197,15,38.0
1846,"Hey, how you doin'?",Joey,neutral,1.0,197,16,38.0
1847,Hey.,Ross,neutral,0.0,198,0,39.0
1848,"Hi. Look um, about what happened earlier...",Rachel,sadness,0.0,198,1,39.0
1849,"No, hey, well, I-I completely understand. You were, you were stressed.",Ross,neutral,1.0,198,2,39.0
1850,I was gonna give you a chance to apologise to me.,Rachel,disgust,0.0,198,3,39.0
1851,Hey.,Ross,neutral,0.0,199,0,39.0
1852,"Hi. Look um, about what happened earlier...",Rachel,sadness,0.0,199,1,39.0
1853,"No, hey, well, I-I completely understand. You were, you were stressed.",Ross,neutral,0.0,199,2,39.0
1854,I was gonna give you a chance to apologise to me.,Rachel,disgust,1.0,199,3,39.0
1855,For what? For letting you throw me out of your office?,Ross,anger,0.0,199,4,39.0
1856,Hey.,Ross,neutral,0.0,200,0,39.0
1857,"Hi. Look um, about what happened earlier...",Rachel,sadness,0.0,200,1,39.0
1858,"No, hey, well, I-I completely understand. You were, you were stressed.",Ross,neutral,1.0,200,2,39.0
1859,I was gonna give you a chance to apologise to me.,Rachel,disgust,0.0,200,3,39.0
1860,For what? For letting you throw me out of your office?,Ross,anger,1.0,200,4,39.0
1861,You had no,Rachel,anger,0.0,200,5,39.0
1862,I know.,Monica,neutral,0.0,201,0,40.0
1863,"Ooh, I have to tell you something.",Phoebe,joy,0.0,201,1,40.0
1864,What?,Monica,neutral,0.0,201,2,40.0
1865,But I can't tell you.,Phoebe,neutral,1.0,201,3,40.0
1866,Hi!,Richard,joy,0.0,202,0,41.0
1867,Richard!,Monica,joy,0.0,202,1,41.0
1868,"Actually, I'm not here to complement the chef.",Richard,neutral,0.0,202,2,41.0
1869,Hi!,Richard,joy,0.0,203,0,41.0
1870,Richard!,Monica,joy,0.0,203,1,41.0
1871,"Actually, I'm not here to complement the chef.",Richard,neutral,1.0,203,2,41.0
1872,"Ohh Oh, that's okay I hate when people come back to complement the chef.",Monica,neutral,0.0,203,3,41.0
1873,Hi!,Richard,joy,0.0,204,0,41.0
1874,Richard!,Monica,joy,0.0,204,1,41.0
1875,"Actually, I'm not here to complement the chef.",Richard,neutral,0.0,204,2,41.0
1876,"Ohh Oh, that's okay I hate when people come back to complement the chef.",Monica,neutral,0.0,204,3,41.0
1877,Like I have nothing better to do!,Monica,neutral,0.0,204,4,41.0
1878,So what's up?,Monica,neutral,0.0,204,5,41.0
1879,"Well, it was great seeing you the other night.",Richard,joy,1.0,204,6,41.0
1880,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,205,0,42.0
1881,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,205,1,42.0
1882,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,205,2,42.0
1883,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,206,0,42.0
1884,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,206,1,42.0
1885,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,206,2,42.0
1886,"Joey, I am scared to death about this.",Dina,fear,0.0,206,3,42.0
1887,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,0.0,206,4,42.0
1888,And Bobby's gonna be here the whole time.,Dina,neutral,1.0,206,5,42.0
1889,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,207,0,42.0
1890,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,207,1,42.0
1891,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,207,2,42.0
1892,"Joey, I am scared to death about this.",Dina,fear,0.0,207,3,42.0
1893,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,0.0,207,4,42.0
1894,And Bobby's gonna be here the whole time.,Dina,neutral,0.0,207,5,42.0
1895,"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",Bobby,joy,1.0,207,6,42.0
1896,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",Dina,anger,0.0,207,7,42.0
1897,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,208,0,42.0
1898,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,208,1,42.0
1899,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,208,2,42.0
1900,"Joey, I am scared to death about this.",Dina,fear,0.0,208,3,42.0
1901,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,0.0,208,4,42.0
1902,And Bobby's gonna be here the whole time.,Dina,neutral,0.0,208,5,42.0
1903,"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",Bobby,joy,0.0,208,6,42.0
1904,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",Dina,anger,1.0,208,7,42.0
1905,Because! Cause Cause you're my baby sister!,Joey,sadness,1.0,208,8,42.0
1906,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,209,0,42.0
1907,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,209,1,42.0
1908,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,209,2,42.0
1909,"Joey, I am scared to death about this.",Dina,fear,0.0,209,3,42.0
1910,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,0.0,209,4,42.0
1911,And Bobby's gonna be here the whole time.,Dina,neutral,0.0,209,5,42.0
1912,"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",Bobby,joy,0.0,209,6,42.0
1913,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",Dina,anger,0.0,209,7,42.0
1914,Because! Cause Cause you're my baby sister!,Joey,sadness,1.0,209,8,42.0
1915,And you're my big brother!,Dina,joy,1.0,209,9,42.0
1916,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,210,0,42.0
1917,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,210,1,42.0
1918,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,210,2,42.0
1919,"Joey, I am scared to death about this.",Dina,fear,0.0,210,3,42.0
1920,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,0.0,210,4,42.0
1921,And Bobby's gonna be here the whole time.,Dina,neutral,0.0,210,5,42.0
1922,"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",Bobby,joy,0.0,210,6,42.0
1923,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",Dina,anger,0.0,210,7,42.0
1924,Because! Cause Cause you're my baby sister!,Joey,sadness,0.0,210,8,42.0
1925,And you're my big brother!,Dina,joy,1.0,210,9,42.0
1926,"I mean, you're my favorite guy in the whole world.",Dina,neutral,1.0,210,10,42.0
1927,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,211,0,42.0
1928,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,211,1,42.0
1929,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,211,2,42.0
1930,"Joey, I am scared to death about this.",Dina,fear,0.0,211,3,42.0
1931,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,0.0,211,4,42.0
1932,And Bobby's gonna be here the whole time.,Dina,neutral,0.0,211,5,42.0
1933,"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",Bobby,joy,0.0,211,6,42.0
1934,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",Dina,anger,0.0,211,7,42.0
1935,Because! Cause Cause you're my baby sister!,Joey,sadness,0.0,211,8,42.0
1936,And you're my big brother!,Dina,joy,0.0,211,9,42.0
1937,"I mean, you're my favorite guy in the whole world.",Dina,neutral,0.0,211,10,42.0
1938,I'm not even scared to tell mom and dad.,Dina,neutral,0.0,211,11,42.0
1939,I was scared of telling you.,Dina,fear,1.0,211,12,42.0
1940,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,212,0,42.0
1941,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,212,1,42.0
1942,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,212,2,42.0
1943,"Joey, I am scared to death about this.",Dina,fear,0.0,212,3,42.0
1944,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,0.0,212,4,42.0
1945,And Bobby's gonna be here the whole time.,Dina,neutral,0.0,212,5,42.0
1946,"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",Bobby,joy,0.0,212,6,42.0
1947,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",Dina,anger,0.0,212,7,42.0
1948,Because! Cause Cause you're my baby sister!,Joey,sadness,0.0,212,8,42.0
1949,And you're my big brother!,Dina,joy,0.0,212,9,42.0
1950,"I mean, you're my favorite guy in the whole world.",Dina,neutral,0.0,212,10,42.0
1951,I'm not even scared to tell mom and dad.,Dina,neutral,1.0,212,11,42.0
1952,I was scared of telling you.,Dina,fear,0.0,212,12,42.0
1953,"Well I'd be scared of them, but all right.",Joey,fear,1.0,212,13,42.0
1954,"One pregnant woman at a time, please! I just want you to be okay.",Joey,disgust,0.0,213,0,42.0
1955,So forcing her to marry Bobby is gonna make that happen?,Rachel,sadness,0.0,213,1,42.0
1956,"Maybe!  Well! Wellso-so uh, what kind of music does Numb NutsOh forget it! I can't!",Joey,anger,0.0,213,2,42.0
1957,"Joey, I am scared to death about this.",Dina,fear,0.0,213,3,42.0
1958,"But I really think I can do it, I'm just gonna need some help.",Dina,fear,0.0,213,4,42.0
1959,And Bobby's gonna be here the whole time.,Dina,neutral,0.0,213,5,42.0
1960,"You bet I am!  And to answer your earlier question, we're straight-up gangster rap.",Bobby,joy,0.0,213,6,42.0
1961,"Look, Rachel's told me how much easier you've made all this on her. Why can't you do that for me?",Dina,anger,1.0,213,7,42.0
1962,Because! Cause Cause you're my baby sister!,Joey,sadness,1.0,213,8,42.0
1963,And you're my big brother!,Dina,joy,0.0,213,9,42.0
1964,"I mean, you're my favorite guy in the whole world.",Dina,neutral,0.0,213,10,42.0
1965,I'm not even scared to tell mom and dad.,Dina,neutral,0.0,213,11,42.0
1966,I was scared of telling you.,Dina,fear,0.0,213,12,42.0
